series,track,family,signal,horizon,n,dm_stat,p_value,signif,better
Spain,Foundation,timesfm,mcp,1,47,-0.3239,0.746,ns,C0
Spain,Foundation,timesfm,mcp,3,135,-1.0673,0.2858,ns,C0
Spain,Foundation,timesfm,mcp,6,252,-2.4223,0.0154,**,C0
Spain,Foundation,timesfm,mcp,12,432,-3.8548,0.0001,**,C0
Spain,Foundation,chronos2,mcp,1,47,-0.5351,0.5926,ns,C0
Spain,Foundation,chronos2,mcp,3,135,-0.4357,0.6631,ns,C0
Spain,Foundation,chronos2,mcp,6,252,-1.5487,0.1215,ns,C0
Spain,Foundation,chronos2,mcp,12,432,-3.4261,0.0006,**,C0
Spain,Foundation,timegpt,mcp,1,47,-2.7439,0.0061,**,C0
Spain,Foundation,timegpt,mcp,3,135,-2.3516,0.0187,**,C0
Spain,Foundation,timegpt,mcp,6,252,-2.6744,0.0075,**,C0
Spain,Foundation,timegpt,mcp,12,432,-2.8294,0.0047,**,C0
Spain,Foundation,chronos2,energy,1,47,-2.2494,0.0245,**,C0
Spain,Foundation,chronos2,energy,3,135,-1.7027,0.0886,*,C0
Spain,Foundation,chronos2,energy,6,252,-0.7603,0.4471,ns,C0
Spain,Foundation,chronos2,energy,12,432,-0.2747,0.7835,ns,C0
Spain,Foundation,timegpt,energy,1,47,-2.4137,0.0158,**,C0
Spain,Foundation,timegpt,energy,3,135,-2.2027,0.0276,**,C0
Spain,Foundation,timegpt,energy,6,252,-2.7089,0.0068,**,C0
Spain,Foundation,timegpt,energy,12,432,-3.7373,0.0002,**,C0
Spain,Foundation,chronos2,energy_only,1,47,-1.0922,0.2747,ns,C0
Spain,Foundation,chronos2,energy_only,3,135,-0.5603,0.5753,ns,C0
Spain,Foundation,chronos2,energy_only,6,252,-0.0808,0.9356,ns,C0
Spain,Foundation,chronos2,energy_only,12,432,0.4073,0.6838,ns,C1
Spain,Foundation,timegpt,energy_only,1,47,-3.8971,0.0001,**,C0
Spain,Foundation,timegpt,energy_only,3,135,-3.1678,0.0015,**,C0
Spain,Foundation,timegpt,energy_only,6,252,-2.9656,0.003,**,C0
Spain,Foundation,timegpt,energy_only,12,432,-3.3299,0.0009,**,C0
Spain,Foundation,chronos2,inst,1,47,-0.6396,0.5224,ns,C0
Spain,Foundation,chronos2,inst,3,135,-0.0599,0.9523,ns,C0
Spain,Foundation,chronos2,inst,6,252,-0.4688,0.6392,ns,C0
Spain,Foundation,chronos2,inst,12,432,-0.7116,0.4767,ns,C0
Spain,Foundation,timesfm,inst,1,47,-1.1088,0.2675,ns,C0
Spain,Foundation,timesfm,inst,3,135,-2.8021,0.0051,**,C0
Spain,Foundation,timesfm,inst,6,252,-2.4454,0.0145,**,C0
Spain,Foundation,timesfm,inst,12,432,-2.1914,0.0284,**,C0
Spain,Foundation,timegpt,inst,1,47,-3.1299,0.0017,**,C0
