series,horizon,C0_MAE,C0_RMSE,C0_MASE,flat_MAE,flat_RMSE,flat_MASE,fwd_MAE,fwd_RMSE,fwd_MASE,dMAEpct_fwd_vs_flat,dMAEpct_fwd_vs_C0,DMp_fwd_vs_flat,DMsig_fwd_vs_flat,DMp_fwd_vs_C0,DMsig_fwd_vs_C0
Spain,1,0.5202,0.8026,0.3702,0.5488,0.7784,0.3906,0.5418,0.7778,0.3856,-1.3,4.2,0.6587,ns,0.6125,ns
Spain,3,0.8179,1.0984,0.5821,0.8212,1.1213,0.5845,0.809,1.1282,0.5757,-1.5,-1.1,0.4686,ns,0.8740,ns
Spain,6,1.206,1.6001,0.8583,1.237,1.6916,0.8804,1.2181,1.6978,0.8669,-1.5,1.0,0.4943,ns,0.8772,ns
Spain,12,1.9898,2.7487,1.4161,2.0694,2.8896,1.4727,2.0892,2.9331,1.4869,1.0,5.0,0.6720,ns,0.4769,ns
Global,1,0.2519,0.3226,0.2149,0.2004,0.2701,0.171,0.1925,0.2543,0.1643,-3.9,-23.6,0.4825,ns,0.0750,*
Global,3,0.358,0.4822,0.3054,0.3417,0.4656,0.2916,0.3074,0.404,0.2623,-10.0,-14.1,0.2173,ns,0.2838,ns
Global,6,0.6423,0.9146,0.548,0.5914,0.8337,0.5046,0.5299,0.69,0.4521,-10.4,-17.5,0.2842,ns,0.2161,ns
Global,12,1.3375,1.8316,1.1411,1.1433,1.6333,0.9755,1.0648,1.4123,0.9085,-6.9,-20.4,0.5156,ns,0.1658,ns
Europe,1,0.5124,0.7153,0.352,0.5513,0.6783,0.3787,0.5639,0.6881,0.3874,2.3,10.1,0.5527,ns,0.4229,ns
Europe,3,0.82,1.0527,0.5632,0.8491,1.0873,0.5833,0.818,1.0311,0.5619,-3.7,-0.2,0.3979,ns,0.9813,ns
Europe,6,1.2521,1.64,0.8601,1.3213,1.7614,0.9076,1.2478,1.6214,0.8571,-5.6,-0.3,0.2410,ns,0.9701,ns
Europe,12,2.3003,3.0819,1.5801,2.402,3.2533,1.6499,2.2648,3.0374,1.5556,-5.7,-1.5,0.2647,ns,0.8551,ns
