contrast,horizons,n,countries,pooled_scaled_dbar,direction,p_origin_clustered,p_country_clustered,p_honest,sig_honest,n_countries_B_better
C1 context vs C0,1,893,19,-0.0078,A_better,0.7466,0.7189,0.7466,ns,8/19
C1 context vs C0,3,2565,19,-0.0078,A_better,0.7962,0.7715,0.7962,ns,8/19
C1 context vs C0,6,4788,19,-0.006,A_better,0.8776,0.8845,0.8845,ns,7/19
C1 context vs C0,12,8208,19,0.0626,B_better,0.2773,0.4028,0.4028,ns,9/19
C1 context vs C0,1+3+6+12,16454,19,0.0278,B_better,0.5363,0.6029,0.6029,ns,10/19
C1 forward-path vs C0,1,893,19,0.0042,B_better,0.8292,0.8132,0.8292,ns,8/19
C1 forward-path vs C0,3,2565,19,0.0231,B_better,0.3258,0.2715,0.3258,ns,10/19
C1 forward-path vs C0,6,4788,19,0.05,B_better,0.0963,0.1134,0.1134,ns,10/19
C1 forward-path vs C0,12,8208,19,0.1515,B_better,0.0008,0.008,0.008,**,15/19
C1 forward-path vs C0,1+3+6+12,16454,19,0.094,B_better,0.0067,0.0209,0.0209,**,13/19
C1 forward vs flat-hold,1,893,19,0.012,B_better,0.0898,0.0241,0.0898,*,13/19
C1 forward vs flat-hold,3,2565,19,0.0309,B_better,0.0134,0.0009,0.0134,**,16/19
C1 forward vs flat-hold,6,4788,19,0.056,B_better,0.0055,0.0007,0.0055,**,16/19
C1 forward vs flat-hold,12,8208,19,0.0889,B_better,0.0092,0.0076,0.0092,**,14/19
C1 forward vs flat-hold,1+3+6+12,16454,19,0.0661,B_better,0.0072,0.0038,0.0072,**,16/19
