series,family,signal,horizon,n,mae_c0,mae_c1,dmae_pct,bias_c0,bias_c1,std_c0,std_c1,d_bias2,d_var,driver,dm_p,better
Spain,chronos2,mcp,1,47,0.5202,0.549,5.5,-0.11,-0.098,0.795,0.764,-0.0026,-0.048,VAR,0.593,C0
Spain,chronos2,mcp,3,135,0.8179,0.8473,3.6,0.08,0.153,1.095,1.108,0.0169,0.0267,VAR,0.663,C0
Spain,chronos2,mcp,6,252,1.206,1.3132,8.9,0.424,0.547,1.543,1.643,0.1189,0.3196,VAR,0.122,C0
Spain,chronos2,mcp,12,432,1.9898,2.2659,13.9,1.032,1.434,2.547,2.659,0.9894,0.5828,BIAS,0.001,C0
Spain,chronos2,energy,1,47,0.5202,0.6561,26.1,-0.11,0.086,0.795,0.888,-0.0048,0.1568,VAR,0.024,C0
Spain,chronos2,energy,3,135,0.8179,0.9276,13.4,0.08,0.289,1.095,1.171,0.0773,0.1714,VAR,0.089,C0
Spain,chronos2,energy,6,252,1.206,1.272,5.5,0.424,0.682,1.543,1.543,0.2852,0.0012,BIAS,0.447,C0
Spain,chronos2,energy,12,432,1.9898,2.0315,2.1,1.032,1.48,2.547,2.318,1.1238,-1.1171,BIAS,0.784,C0
Spain,chronos2,inst,1,47,0.5202,0.5488,5.5,-0.11,0.003,0.795,0.778,-0.0122,-0.0261,VAR,0.522,C0
Spain,chronos2,inst,3,135,0.8179,0.8212,0.4,0.08,0.133,1.095,1.113,0.0114,0.0395,VAR,0.952,C0
Spain,chronos2,inst,6,252,1.206,1.237,2.6,0.424,0.372,1.543,1.65,-0.0413,0.3426,VAR,0.639,C0
Spain,chronos2,inst,12,432,1.9898,2.0694,4.0,1.032,0.814,2.547,2.772,-0.4026,1.197,VAR,0.477,C0
Spain,chronos2,macro,1,47,0.5202,0.6349,22.1,-0.11,0.314,0.795,0.723,0.0862,-0.1088,VAR,0.134,C0
Spain,chronos2,macro,3,135,0.8179,0.9247,13.1,0.08,0.487,1.095,1.022,0.2312,-0.1562,BIAS,0.224,C0
Spain,chronos2,macro,6,252,1.206,1.294,7.3,0.424,0.872,1.543,1.407,0.5813,-0.4017,BIAS,0.439,C0
Spain,chronos2,macro,12,432,1.9898,2.0415,2.6,1.032,1.582,2.547,2.221,1.4381,-1.5549,VAR,0.768,C0
Spain,timesfm,mcp,1,47,0.4364,0.4482,2.7,-0.011,0.127,0.614,0.619,0.0161,0.0058,BIAS,0.746,C0
Spain,timesfm,mcp,3,135,0.732,0.7725,5.5,0.338,0.426,0.897,0.891,0.0677,-0.01,BIAS,0.286,C0
